year,month,day,country,state,city,hour,minute,operator,flight,actype,registration,cn_ln,ground,summary,route,totalAboard,passengerAboard,crewAboard,totalFatality,passengerFatality,crewFatality
1908,9,17,United States of America,Virginia,Fort Myer,17,18,Military - U.S. Army,?,Wright Flyer III,?,1,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",,2,1,1,1,1,0
1909,9,7,France,?,Juvisy-sur-Orge,0,0,?,?,Wright Byplane,SC1,?,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",,1,0,1,1,0,0
1912,7,12,United States of America,New Jersey,Atlantic City,6,30,Military - U.S. Navy,?,Dirigible,?,?,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",,5,0,5,5,0,5
1913,8,6,Canada,British Columbia,Victoria,0,0,Private,?,Curtiss seaplane,?,?,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",,1,0,1,1,0,1
1913,10,17,Germany,?,Johannisthal,10,30,Military - German Navy,?,Zeppelin L-2 (airship),?,?,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again.",,28,0,0,28,0,0
1915,3,5,Belgium,?,Tienen,1,0,Military - German Navy,?,Zeppelin L-8 (airship),?,?,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,,41,0,41,17,0,17
1915,9,3,Germany,?,Cuxhaven,15,20,Military - German Navy,?,Zeppelin L-10 (airship),?,?,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",,19,0,0,19,0,0
1916,7,28,Bulgaria,?,Jambol,0,0,Military - German Army,?,Schutte-Lanz S-L-10 (airship),?,?,0,"Crashed near the Black Sea, cause unknown.",,20,0,0,20,0,0
1916,9,24,United Kingdom,?,Billericay,1,0,Military - German Navy,?,Zeppelin L-32 (airship),?,?,0,Shot down by British aircraft crashing in flames.,,22,0,0,22,0,0
1916,10,1,United Kingdom,?,Potters Bar,23,45,Military - German Navy,?,Zeppelin L-31 (airship),?,?,0,Shot down in flames by the British 39th Home Defence Squadron.,,19,0,19,19,0,19
1916,11,21,Germany,?,Mainz,0,0,Military - German Army,?,Super Zeppelin (airship),?,?,0,Crashed in a storm.,,28,0,0,27,0,0
1916,11,28,United Kingdom,?,West Hartlepool,23,45,Military - German Navy,?,Zeppelin L-34 (airship),?,?,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,,20,0,0,20,0,0
1917,3,4,Belgium,?,Gent,0,0,Military - German Army,?,Airship,?,?,0,Caught fire and crashed.,,20,0,0,20,0,0
1917,3,30,Germany,?,?,0,0,Military - German Navy,?,Schutte-Lanz S-L-9 (airship),?,?,0,Struck by lightning and crashed into the Baltic Sea.,,23,0,0,23,0,0
1917,5,14,Netherlands,?,?,5,15,Military - German Navy,?,Zeppelin L-22 (airship),?,?,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",,21,0,0,21,0,0
1917,6,17,United Kingdom,?,Yarmouth,0,0,?,?,Zepplin L-48 (air ship),L-48,?,0,Shot down by aircraft.,,16,0,0,14,0,0
1917,8,21,Denmark,?,?,7,0,Military - German Navy,?,Zeppelin L-23 (airship),?,?,0,Shot down by British aircraft.,,18,0,0,18,0,0
1917,10,20,France,?,Luneville,7,45,Military - German Navy,?,Zeppelin L-44 (airship),?,?,0,Shot down by French anti-aircraft fire.,,18,0,0,18,0,0
1918,8,5,Germany,?,?,0,0,Military - German Navy,?,Zeppelin L-70 (airship),?,?,0,"Shot down by British aircraft crashing from a height of 17,000 ft.",,22,0,0,22,0,0
1918,8,11,Netherlands,?,?,10,0,Military - German Navy,?,Zeppelin L-53 (airship),?,?,0,Shot down by british aircraft.,,19,0,0,19,0,0
1918,12,16,United States of America,New Jersey,Elizabeth,0,0,US Aerial Mail Service,?,De Havilland DH-4,97,?,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,,1,0,1,1,0,1
1919,5,25,United States of America,Ohio,Cleveland,0,0,US Aerial Mail Service,?,De Havilland DH-4,61,?,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,,1,0,1,1,0,1
1919,7,19,United States of America,Pennsylvania,Dix Run,0,0,US Aerial Mail Service,?,De Havilland DH-4,82,?,0,The mail plane crashed under unknown circumstances.,,1,0,1,1,0,1
1919,7,21,United States of America,Illinois,Chicago,16,55,Wingfoot Air Express Goodyear Tire,?,FD Type Dirigible,?,?,10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",,0,0,0,3,2,1
1919,8,2,Italy,?,Verona,0,0,Caproni Company,?,Caproni Ca.48,?,?,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,,14,12,2,14,12,2
1919,10,2,United Kingdom,?,Newcastle,0,0,Aircraft Transport and Travel,?,De Havilland DH-4,?,?,0,?,,1,0,1,1,0,1
1919,10,14,United States of America,Maryland,Cantonsville,0,0,US Aerial Mail Service,?,Curtiss R-4LM,32,?,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",,1,0,1,1,0,1
1919,10,20,United Kingdom,Kent,Forkstone,0,0,Aircraft Transport and Travel,?,De Havilland DH-4,G-EAHG,?,0,Crashed into the sea while attempting to land in fog.,,0,0,1,0,0,0
1919,10,30,United States of America,New Jersey,Long Valley,0,0,US Aerial Mail Service,?,De Havilland DH.4,77,77,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",,1,0,1,1,0,1
1919,12,11,United Kingdom,Surrey,Catherham,0,0,Aircraft Travel Transport,?,de Havilland DH-4,G-EAHF,?,0,Crashed in a field while attemptting to land.,"Paris,Hounslow",1,1,1,1,1,1
1920,3,10,United States of America,Indiana,New Paris,0,0,US Aerial Mail Service,?,De Havilland DH-4,65,?,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",,1,0,1,1,0,1
1920,3,30,United States of America,New Jersey,Newark,0,0,US Aerial Mail Service,?,De Havilland DH-4,72,?,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,"Washington,Newark",1,0,1,1,0,1
1920,4,10,United States of America,New Jersey,Newark,0,0,US Aerial Mail Service,?,Curtiss R-4LM,49,?,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,,2,1,1,1,0,1
1920,4,11,United States of America,New Jersey,?,0,0,US Aerial Mail Service,?,Curtiss JN-4H,44,?,0,The aircraft crashed while on approach for unknown reasons.,,2,1,1,1,0,1
1920,5,12,United States of America,Iowa,Oskaloosa,0,0,US Aerial Mail Service,?,De Havilland DH-4,79,?,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",,2,1,1,1,1,0
